Student Number,Name,Extracurricular Activities
96,Jermayne McCritchie,
97,Isaiah Hourigan,
98,Tedmund Kynett,Sports
99,Worthy Moffet,
100,Mohammed Hardisty,
101,Kendrick Yair,Drama
102,Annamarie Normansell,
103,Benetta Puller,
104,Selina Cona,Debate
105,Martha Churches,Debate
106,Fanchette Houndson,
107,Willette O'Regan,Music
108,Shaughn Mation,
109,Larina Sigfrid,
110,Anstice Geistbeck,Debate
111,Brit Franzolini,Music
112,Cissiee Rainsbury,
113,Karissa Morgans,
114,Aloin Searjeant,
115,Jere Ivannikov,Music
116,Hannie Tullis,
117,Maxy Mallon,
118,Quent Chettoe,Other
119,Kassandra Hymer,Other
120,Garret Jeste,
121,Jeniffer Killingworth,Other
122,Cello Eddies,Debate
123,Tony Heine,Other
124,Drucill Mouatt,
125,Randolf Windaybank,Drama
126,Ernaline Ladewig,
127,Shermy Karlicek,
128,Samuel Deport,Music
129,Ly Clitsome,Music
130,Annabela Dunnett,
131,Cynthia Castro,
132,Gretel Obin,Other
133,Nico Chesser,
134,Lanni Acors,
135,Dannye Dethloff,
136,Joanie Mallion,
137,Nerta Gianinotti,Sports
138,Stanislaus Dickens,
139,Meryl Chicotti,
140,Ellwood Ixor,
141,Susanne Habens,
142,Gaye Dix,Debate
143,Sherie Tredgold,Drama
144,Skelly Karchewski,
145,Lizabeth Merali,Sports
146,Stace Sivills,
147,Alberto Santino,
148,Darby Zmitruk,
149,Issie Abbatini,Music
150,Marget Otson,
151,Kendall Board,
152,Denys Colhoun,
153,Wakefield Armitage,
154,Ingamar Jackling,Other
155,Phaedra Shinton,
156,Ginelle Dressel,Other
157,Dar Haquard,Sports
158,Phineas Loines,
159,Grissel Shrubsall,
160,Alanson Rodrig,
161,Shannon Milsap,Other
162,Scott Hatzar,
163,Anni Middle,Drama
164,Madelena Colwill,
165,Tedi McHaffy,Sports
166,Paten Windrum,
167,Dulci Jerger,Drama
168,Graeme Cordell,
169,Araldo Batiste,
170,Fenelia Pretley,Music
171,Tildy Oglethorpe,
172,Launce Fanstone,Debate
173,Thornie Howison,Other
174,Emmalyn Daniellot,Music
175,Klara Gibbieson,Drama
176,Gladi Candie,
177,Alexandro Carruth,Music
178,Theobald Stovin,Debate
179,Morry Bettles,
180,Alanah Lakenton,Music
181,Linnet Fenners,Other
182,Wren Duly,Drama
183,Leonanie Bondar,
184,Cherilyn Mourant,
185,Eolande Stallibrass,Debate
186,Decca Seys,Other
187,Harri Crunkhurn,
188,Alvira Vallow,Debate
189,Oates Pawling,
190,Charla Alred,Sports
191,Arlin Klaiser,
192,Dari Gonnin,Music
193,Godard Gurnell,Music
194,Raf Maffioletti,Music
195,Leo Henkmann,
196,Diahann Woodcock,
197,Estella Leggatt,Debate
198,Maia Kerans,
199,Finley Huguet,
200,Hank McOwen,
201,Baudoin Lidbetter,Music
202,Griffin MacCathay,
203,Cris Kirsch,Debate
204,Mace Pavinese,
205,Zorine O'Siaghail,
206,Annabella Chillingworth,Other
207,Violante Cruft,
208,Merola Guslon,
209,Lazar Puddin,Drama
210,Coralie Swalwell,
211,Orv Callaby,
212,Retha Andree,
213,Fredra Edler,Sports
214,Neile Dumbrall,
215,Brennen Burnham,Drama
216,Zola Ruddin,
217,Derward Findlow,Other
218,Fleur Gheorghe,
219,Garrik Southerton,Other
220,Lucas Jahan,
221,Berri Ogilvie,Debate
222,Itch Romanski,
223,Hally Dowbiggin,Music
224,Shae Murra,
225,Mab Linggood,
226,Ricky Weymont,
227,Selena Janny,
228,Sandra Johnsee,
229,Jenda Minors,Drama
230,Terri Detoile,Music
231,Lay Laminman,
232,Sheffield Jull,
233,Lauralee Baggally,
234,Bernhard Briant,
235,Wilmar Howsden,Debate
236,Mireille Laborda,
237,Hobard Petr,Sports
238,Jenica Mercey,
239,Gerik Poltun,Debate
240,Alethea Marzellano,
241,Koren Prichard,
242,Moyna Demaid,Debate
243,Ferd Curling,Drama
244,Ashlie De Miranda,
245,Tallie Seabright,
246,Stanfield Van Haeften,Drama
247,Westley Gosdin,Music
248,Saunderson Jiran,
249,Dora Jenton,Music
250,Rex Cossam,Drama
251,Jennica Capper,
252,Ailene Hritzko,
253,Berke Poulton,
254,Ezmeralda Reeme,
255,Lucina Kelsell,Drama
256,Kingsly Skace,Other
257,Ann-marie Whimpenny,
258,Alis Forcer,
259,Kalli Garrals,Sports
260,Sanders Franzolini,Music
261,Cyndi Kirman,Sports
262,Cameron Plank,
263,Blakeley Hellsdon,Sports
264,Joyce De Roberto,Other
265,Darrin Kapelhof,Music
266,Corette Hatliffe,
267,Llywellyn Hedworth,Debate
268,Rora Anderl,Music
269,Colet Van den Hof,
270,Mylo Rosberg,Drama
271,Dania MacMeanma,
272,Janna Cordeiro,
273,Carina Margarson,
274,Germain Tresise,Sports
275,Kaylil Attwool,
276,John Managh,
277,Keriann Whawell,Debate
278,Ilka Kenington,Debate
279,Frederick Highnam,
280,Armand Thalmann,Sports
281,Georgina Fellini,Debate
282,Emmy Gildersleeve,Drama
283,Sander Matej,
284,Fedora Panther,
285,Barclay Naisbit,
286,Dorella Soldan,Drama
287,Aleksandr Rack,Other
288,Joscelin Giordano,Music
289,Euphemia Strick,
290,Barnabas Farrey,
291,Tara Gilburt,
292,Steward Mulleary,Music
293,Roana Sly,Music
294,Cammi Dukelow,
295,Catarina Pranger,Debate
296,Bruno Roderham,Debate
297,Emmott Sowthcote,
298,Rosella Sollam,Debate
299,Madelena Gowdridge,
300,Vivie Lebrun,
301,Bryana Melchior,
302,Ariana Duchart,Debate
303,Annetta Landeaux,
304,Alyss Teape,Music
305,Cazzie Davidof,
306,Bettine Vogeler,Music
307,Ches Symonds,
308,Easter Westerman,Sports
309,Alla Huscroft,
310,Ellsworth Smidmoor,Music
311,Chelsea Simonaitis,
312,Maddie Powley,Other
313,Edvard Babbe,Music
314,Brodie Carloni,Debate
315,Dilly Huchot,Debate
316,Nial Balsellie,Debate
317,Hanna Machent,
318,Nady Jurkiewicz,
319,Karly Winnard,Debate
320,Willey Reuven,Sports
321,Quint Cordobes,
322,Pail Prichard,Debate
323,Greta Loffhead,Other
324,Carce Shakespeare,Drama
325,Irvine Bedson,Sports
326,Sybille Eastwood,
327,Codee Shadrach,
328,Bliss Leat,Other
329,Corella Thurstan,
330,Nikki Hubbard,Debate
331,Dolph Lamp,Other
332,Lexy Bacon,Music
333,Gavra Legges,
334,Olivia Mynard,
335,Leonanie Andreassen,
336,Sheelagh Wieprecht,Debate
337,Robinson Geaney,Sports
338,Jeri Hardwidge,
339,Horton Davids,
340,Loralee MacRury,Other
341,Sophia Pinney,Drama
342,Tuesday Treuge,
343,Thornton Nappin,Drama
344,Valentia Sear,Sports
345,Chiquia Cambden,
346,Hanni Kniveton,
347,Sheelagh Frushard,Debate
348,Winnie Turnor,
349,Bonnee Leward,Debate
350,Benson Murthwaite,Sports
351,Deedee Gimbart,
352,Corabella Self,
353,Genni Moyce,
354,Kimberley Gogay,Sports
355,Jojo Emmer,
356,Elijah Fulstow,Drama
357,Adara Collidge,Debate
358,Ranee Frenzl,Drama
359,Adolpho Haglington,
360,Annora Lyes,
361,Danika Schwander,Drama
362,Kathrine Bingell,
363,Bronny Salliss,Music
364,Derward Pickwell,Sports
365,Tammi Roxburch,
366,Sawyer Sissel,
367,Tricia Keyzor,Music
368,Jerad Troyes,
369,Engelbert Curless,
370,Dorisa Divall,Debate
371,Agnella Ionn,
372,Lenore Newland,
373,Yorgos Stedson,Debate
374,Jimmie Linck,
375,Cheslie Lyptrit,Drama
376,Torey Thurner,
377,Bendite Huriche,
378,Edy Sellars,
379,Cullen Daddow,Sports
380,Darcie Couth,Sports
381,Benita Noraway,
382,Rebe Gero,Debate
383,Patric Clemente,Music
384,Berk Benmore,Other
385,Donni Brogioni,Music
386,Jenelle Oke,
387,Nicolis Cleve,
388,Thomasa Grewe,Music
389,Rowe Tosspell,
390,Kaile Gerlts,
391,Scotty Rheubottom,Other
392,Neal Nettles,Drama
393,Odele Bonafacino,
394,Malvina McKerton,
395,Samantha O'Nowlan,
396,Domingo Ekkel,
397,Sondra Rotherforth,
398,Bianka Rooke,
399,Julie Silcock,Other
400,Kip Scotford,Sports
401,Peggie Betun,
402,Elie Nolan,Music
403,Maryjane Drexel,
404,Renie Manilo,
405,Jacobo Hadingham,
406,Myrtice Rootham,Drama
407,Lewiss Hawkeswood,Drama
408,Austina Whissell,
409,Thebault Render,Drama
410,Adamo Arsmith,Sports
411,Martguerita Chmarny,
412,Chandal Mellody,
413,Oberon Matijevic,
414,Louisette Goodwins,
415,Fred Wild,
416,Kassi Frary,
417,Stevena Fryers,Other
418,Roxanna Shepcutt,
419,Adria Fruchter,
420,Alena Farrell,Sports
421,Gilberto Tubb,
422,Kenyon Skiplorne,Music
423,Winona Claworth,
424,Tedda Keene,Music
425,Heda Benedick,
426,Elbert Kentish,Other
427,Carlie Millett,Sports
428,Boniface Woodcroft,
429,Carolus Kilcoyne,
430,Lou Pavier,
431,Daryle Bircher,Other
432,Petunia Cossentine,
433,Martelle Pachmann,
434,Dwight Folini,
435,Buckie Gallier,
436,Jeffy Pessel,
437,Killie Bezley,
438,Boothe Cockayne,
439,Lina Walkowski,
440,Leonardo Semrad,Music
441,Dena Wisker,Drama
442,Goldy Sheepy,
443,Zaccaria Prazor,
444,Bertie Sultana,Debate
445,Hyatt Porteous,
446,Dallas Waldie,
447,Fee McClay,
448,Salvidor Croose,
449,Jessamyn Figg,Other
450,Marcelline Niesegen,
451,Elia Konerding,
452,Sheelah Snelson,Other
453,Mikaela Entres,
454,Lane Tewkesbury.,
455,Josephine Forrestill,Music
456,Valentina Mundell,Music
457,Katinka Muff,Music
458,Benedikt Maclaine,Music
459,Bamby MacGhee,
460,Galina Buntine,
461,Tess Waren,Other
462,Tudor Hawgood,
463,Corrinne Jedrzejczak,Music
464,Dierdre Fatscher,
465,Winfield MacDunlevy,Music
466,Pyotr Ivett,Debate
467,Hallie Leetham,
468,Leupold Driver,Other
469,Bondie Blague,
470,Marten Harses,Debate
471,Milzie Merigeau,
472,Amelia Lyness,Music
473,Lesly Ballingal,
474,Garry Biesinger,Debate
475,Margeaux Cogar,Drama
476,Jackquelin Fairall,
477,Heloise Tankin,Drama
478,Zola Askin,Debate
479,Lavina Cornwell,
480,Grete Walley,Sports
481,Welby Saunper,
482,Kain Renshall,
483,Delinda Dumblton,Debate
484,Delcine Godwin,Music
485,Margaretha Hess,
486,Alanna Singers,
487,Paulina Eshelby,Debate
488,Reta Killock,
489,Tracie Newbury,
490,Elset Casolla,
491,Forster Musselwhite,Sports
492,Mildrid Plumridge,Sports
493,Nil Minghetti,
494,Kurtis Dowty,Debate
495,Bernhard Frigout,
496,Laura Maddocks,
497,Roselia Fibbens,
498,Adelaide McGarrie,
499,Fidole Schoroder,Other
500,Eloisa Brothwood,Music
501,Twila Biasini,
502,Genia Rodnight,
503,Corissa Gilder,
504,Brent Burnage,
505,Suzi Domone,
506,Hamish Apps,Music
507,Olivier de Keep,Sports
508,Sly Wainer,
509,Jon Royse,Sports
510,Nell Byram,Music
511,Kelby Litton,Music
512,Eulalie Yurkov,Debate
513,Esme Drees,Drama
514,Chloette Hicken,
515,Mil Mayling,Debate
516,Morse Binning,
517,Brandy Barrett,
518,Alvera Biddy,Drama
519,Nick Lucia,
520,Donalt Love,
521,Addy Carrabot,Drama
522,Sonny Finby,Sports
523,Janeczka Neighbour,Debate
524,Shell Otridge,
525,Culver Purdie,
526,Cynde Dee,
527,Gasparo Seagood,
528,Urbano Evenden,
529,Dallon Capper,Debate
530,Fair Kings,Other
531,Free Kollasch,Drama
532,Forest Lambarton,
533,Kendricks Fowles,
534,Hoyt Lishmund,Other
535,Cassey Lee,Sports
536,Massimiliano Dresche,
537,Giovanna Claricoats,
538,Alfons Danahar,Debate
539,Benedict Wholesworth,
540,Fitz Svanini,Music
541,Douglas Reinhard,Drama
542,Winonah Mainz,Debate
543,Charlot Wolters,Sports
544,Courtenay Scamel,
545,Doreen Peppard,Sports
546,Julita MacEveley,Sports
547,Theressa Swede,
548,Alwyn Tocqueville,Sports
549,Alwyn Wetton,Other
550,Cad Balassi,
551,Seline Lambillion,
552,Tillie Redolfi,Drama
553,Ermin Verni,Other
554,Jana Davidoff,Drama
555,Giustino Stolte,
556,Fara Boadby,Sports
557,Gillie Fenty,Music
558,Morty Milne,
559,Ashleigh Jedrzejczyk,Music
560,Linnet Drinnan,
561,Hailee Delagnes,
562,Alvina Witt,
563,Flint Ramberg,Music
564,Nealson Wallis,
565,Marquita Fry,
566,Yankee Elloit,
567,Evania Hamsson,
568,Annis Delahunty,Sports
569,Kiley Muro,
570,Vance Lentsch,
571,Sergeant Rivenzon,Sports
572,Odette Sigert,Sports
573,Gleda Gibben,
574,Modesta Bettington,Music
575,Marcelle Degan,
576,Quent Stappard,
577,Ilsa Lagne,
578,Rickie Tschierse,Other
579,Al Hintzer,Sports
580,Yasmeen Vasilov,
581,Bondy Week,
582,Maxy Ruslinge,
583,Giusto Ashwood,
584,Frank O'Concannon,Other
585,Dave Gierck,
586,Abbie Marcam,Music
587,Shelbi Finicj,
588,Erik Spira,
589,Merwin Haswell,Other
590,Earle Pinn,Debate
591,Berk Crate,
592,Amberly Yearron,Drama
593,Ursula Guiel,Debate
594,Darla Weeks,Music
595,Borg Rowlatt,Other
596,Adolph Paffot,
597,Jennifer Brotherwood,
598,Boigie Cowap,
599,Lowell Linforth,
600,Nomi Brickstock,Other
601,Valentine Penfold,
602,Gerard Charters,
603,Julie Kidsley,Sports
604,Leanna Artinstall,Drama
605,Annissa Caselli,
606,Gussy Brickner,
607,Vallie Schukraft,
608,Coriss Pickaver,
609,Dalston Beecheno,Other
610,Gerik Baudain,
611,Doroteya Fechnie,Music
612,Iosep Andreopolos,Drama
613,Coralie Anslow,
614,Selena Tetley,Other
615,Blondelle Urpeth,Drama
616,Carson Brundall,Music
617,Kirbee Clerk,Sports
618,Casey Bessent,Drama
619,Fransisco Campa,
620,Adlai Fakeley,
621,Duke Mugridge,
622,Lenora Furniss,
623,Anne-marie Mates,Other
624,Petr Maffioletti,
625,Darline Doman,
626,Jean Bottomer,Sports
627,Lawry Ahrenius,Debate
628,Ondrea Camplen,
629,Nikolos McFadzean,
630,Royce Touhig,
631,Rock Kaming,
632,Roley Vamplew,Drama
633,Dore Stanhope,
634,Kaela Cridlin,Other
635,Tymothy Snaden,Music
636,Mersey Plaide,Music
637,Theodore Broadbridge,Music
638,Mirilla Ricardou,
639,Rafe Normavell,
640,Bartlet Pinnegar,
641,Tess Notton,
642,Marchall Savins,Debate
643,Melisande Simmank,Sports
644,Shepherd Heintsch,
645,Howie Filyashin,
646,Giustina McQuade,Drama
647,Janette Prestney,
648,Josselyn Jurgenson,
649,Jennette Fallis,
650,Brittani Fowells,
651,Ernesta Kevane,
652,Lucho McCrum,
653,Petra Bangiard,
654,Hedwig Lemmen,Music
655,Eba Peiser,
656,George Harman,
657,Candi Rizzetti,Drama
658,Natty Klimowicz,
659,Jecho Dumbreck,
660,Hort Pendrey,Drama
661,Phillipe Aberhart,
662,Christie Woodley,
663,Adiana Attard,
664,Nikita Jannasch,Debate
665,Minetta Harry,Music
666,Ania Euler,
667,Roger Fownes,
668,Hyman Syddon,Music
669,Jesus Dubose,
670,Web Twaite,
671,Hinda Wybourne,Debate
672,Faydra Sawyers,Drama
673,Dolf Hosier,Music
674,Katheryn Karus,
675,Flora McGrayle,Music
676,Celestyna Ollerenshaw,Other
677,Lucia Stinchcombe,
678,Ravid Chesney,
679,Ray Menego,
680,Karita McAmish,
681,Lyle Cawker,Other
682,Elita Kilmurry,Music
683,Edward Melloi,
684,Sandor Rosenbusch,Music
685,Aland Ilyinykh,
686,Edgard Glaister,Music
687,Kelci Dibley,Drama
688,Sunshine Beesey,Sports
689,Noble Steers,Sports
690,Lin Copp,Other
691,Dyanne Balnaves,
692,Gertrud Moyles,
693,Robinet Connor,
694,Colman Vanne,
695,Elka Paskerful,Music
696,Archambault Spickett,
697,Ali Lohering,
698,Ruthie Loughnan,Other
699,Christoffer Dudgeon,
700,Dotti Vallens,
701,Harrison Liddington,
702,Fraze Keogh,Music
703,Moselle Hunter,Sports
704,Kipper Snowsill,Music
705,Dode Bowton,
706,Serge Silbert,Drama
707,Hort Quartermain,Music
708,Rosene Sember,Drama
709,Clim Baus,
710,Bendicty Lethbrig,Music
711,Benita Domenichelli,Debate
712,Philippe Kulver,
713,Marietta Cornfoot,Other
714,Ebenezer Etty,Debate
715,Aurilia Teas,
716,Delilah McGarvie,
717,Lenore Stanislaw,Music
718,Constantino Jedras,Other
719,Lanna Paike,Sports
720,Chelsea Oliphand,
721,Suzi Gilcriest,
722,Meta Marielle,
723,Sharline Baggott,Sports
724,Kaela Sloane,Other
725,Giavani Scallan,Sports
726,Geno Loddon,
727,Kayne Searl,
728,Tadio Cohrs,Drama
729,Gregg Elland,
730,Henrieta Huriche,Other
731,Marlyn Bolino,Debate
732,Brandyn Bensusan,
733,Piper Pinniger,Sports
734,Elwin Fulford,Drama
735,Lyle Snibson,Sports
736,Saxon De Francisci,
737,Abbe Warrillow,
738,Lilly McCallum,Other
739,Charla Creebo,
740,Creight Zanicchi,Sports
741,Elyse Buckbee,
742,Inna Vellender,Music
743,Frederik Brugemann,
744,Elyssa Pyrke,
745,Shay Rumming,
746,Alphonse Elleray,
747,Rochella Wragge,
748,Barny Fylan,
749,Sig Pauling,Music
750,Horace Amsden,Sports
751,Honor Crowson,
752,Kirstyn Tremblet,Drama
753,Zebedee Ells,
754,Annabela Fanshaw,
755,Katerina Probart,
756,Jamil Clemintoni,
757,Hurleigh Archbutt,Debate
758,Waylon Bleything,
759,Kristofer Larmour,Debate
760,Alecia Brechin,Music
761,Penelope Tomkowicz,
762,Vannie Brennans,Debate
763,Abelard Scripture,Debate
764,Candis Ofener,
765,Massimo Whiscard,Sports
766,Marchelle Edlyne,
767,Freddy Rintoul,Other
768,Courtnay Alflatt,Music
769,Sibyl Caldecourt,
770,Gearard Stokoe,
771,Honoria Esmead,Sports
772,Lesly Bewsy,Sports
773,Morlee Greenly,
774,Jody Monteath,
775,Elisha Poulson,Music
776,Papagena Gristhwaite,Music
777,Winslow Tessington,
778,Athena Hoolaghan,Sports
779,Doroteya Garlett,Other
780,Omero McCroft,
781,Aubree Holstein,Sports
782,Benedict McCalum,Sports
783,Natasha Halewood,
784,Brigit Giorgielli,
785,Luz Siburn,
786,Karoly Roches,
787,Constantine Leehane,Drama
788,Ida Cordova,
789,Merilee Sturges,
790,Loydie Prestner,
791,Merell Dugald,
792,Druci Crosier,
793,Xylia Glison,Sports
794,Lorens Chasemoore,Other
795,Saloma Chinnery,Debate
796,Brier Emby,
797,Cello Haet,Drama
798,Suellen Van der Veldt,
799,Sande Choffin,Music
800,Alfred Eakly,Sports
801,Nalani Wareham,
802,Eilis Scouller,Music
803,Eddi Hawkyens,Sports
804,Elena McFaul,
805,Suzette Wastell,Drama
806,Jere Bransgrove,Other
807,Cal Turgoose,
808,Kristoforo Beecheno,
809,Cedric Overel,
810,Mirilla Waudby,
811,Sada Scougall,
812,Mattie Closs,
813,Brina Abrahami,
814,Malvina Martijn,
815,Elwin Sketh,Drama
816,Danielle Canny,
817,Franz Timbs,
818,Drucill Boorne,
819,Rosemarie Kuhnt,Other
820,Demetre Burwell,Debate
821,Bari Rysom,Music
822,Carr Houdhury,
823,Alaric Nelsey,Sports
824,Jard Gierhard,Music
825,Byran Sadry,
826,Durand Ogilvy,Sports
827,Leonidas Symmons,
828,Egor Havard,Other
829,Gamaliel Charnley,Other
830,Hatty Witnall,Sports
831,Elise Dumberell,
832,Henderson Tours,
833,Nessy Novotna,
834,Padget Cruxton,
835,Lockwood Southcott,
836,Hamish Burdekin,Sports
837,Nial Gustus,Music
838,Gordy Glander,Sports
839,Derron Pymm,Drama
840,Ellary Peron,
841,Dania Philott,
842,Winslow Jovasevic,
843,Franky Colqueran,
844,Milissent Prahm,
845,Sella Yewdall,
846,Harman Daleman,
847,Lazaro Dmitrovic,
848,Gardie Grugerr,
849,Ossie Bentame,
850,Bryon Goldney,Drama
851,Oneida Tweed,
852,Zsa zsa Ternault,
853,Dulcy Guidera,
854,Lucia Donke,Sports
855,Hayley Kettles,Drama
856,Westley De Zamudio,Music
857,Jerome Dawdry,
858,Jethro Rene,
859,Robinette Elcom,
860,Leontyne Soffe,
861,Albrecht Derington,
862,Doralin Claughton,Drama
863,Brit Cottham,
864,Levey Riep,Other
865,Romonda Brocking,Sports
866,Nesta Boutell,Sports
867,Federica Younghusband,
868,Kamillah D' Angelo,
869,Grenville Haughin,Sports
870,Orv Wigsell,
871,Gerhardt Kacheler,
872,Weber Streather,
873,Fitz Eixenberger,
874,Fawne Whorlow,
875,Camala Scrivener,Other
876,Eleanora Cardew,Drama
877,Clemmy Lickess,
878,Allistir Simoneton,
879,Karoly McCrow,Other
880,Myron Gommey,Other
881,Oliy Dahmke,
882,Johnath Clericoates,Music
883,Minette Stockley,Debate
884,Nevins Gras,Other
885,Faunie Wearing,
886,Maurizia Paty,
887,Gwenora Scarse,
888,Kelly Issatt,
889,Carolynn Braycotton,
890,Jonie Langworthy,
891,Gwynne Coales,
892,Ekaterina Gibbon,Drama
893,Cissy Matus,
894,Keenan Ivanchov,
895,Felice Whitton,Sports
896,Modesty O' Driscoll,
897,Melisse New,Music
898,Laetitia Montez,Sports
899,Hanny Franiak,
900,Court Mildmott,
901,Danny Summerlie,
902,Ardyce Roullier,
903,Tracie Hewson,
904,Junina Connichie,
905,Glenda Moultrie,Sports
906,Hughie Grishelyov,Music
907,Glad Duffett,
908,Wildon Alvey,
909,Lavina Garfitt,
910,Miran Skirrow,
911,Silvie Grisenthwaite,Music
912,Abraham Gerbi,Music
913,Harlene Swannick,Music
914,Reggi Harry,
915,Cyrus Lintill,Drama
916,Claudette D'Alesio,Sports
917,Shirline Stansall,
918,Hendrika Ferris,
919,Dew Smithen,Sports
920,Griffy Breakwell,
921,Aluino Sexcey,Drama
922,Filberto Hollingshead,Other
923,Jordan Chinnick,Other
924,Rois Bessett,
925,Stearn Coughlin,
926,Nolie Shenfisch,
927,Carlie O'Cahsedy,
928,Ilse Loughnan,
929,Belva Sugden,
930,Aaron Aspey,Other
931,Valida Howgill,
932,Annabel Snarr,
933,Karly Jewiss,Drama
934,Addy Curzon,
935,Olva Pymer,
936,Willy Shawyers,
937,Caterina Cansdale,Music
938,Corene Martyn,
939,Trent Vigers,Music
940,Rosemarie Bloomfield,
941,Elia Roblou,Music
942,Emma Fishbourne,
943,Bendicty Cannam,Other
944,Judy Goodswen,
945,Korrie Faircliffe,
946,Amabel Titmarsh,
947,Kendall Oxbe,Sports
948,Bev Arkell,
949,Regan Cutts,Other
950,Tonye Lapthorn,Drama
951,Cully Dunstall,Other
952,Mischa Meeke,
953,Bobby Statter,Other
954,Bryn Shillam,
955,Levy Camocke,
956,Rodrique Turnor,
957,Steffie Glazier,
958,Walsh Covell,
959,Thedrick Fernan,Drama
960,Care Winsley,
961,Elenore Mandal,Music
962,Titus Flindall,
963,Darrel Kivelle,Sports
964,Fallon Blinkhorn,
965,Gregoire Clynman,Debate
966,Phaedra Beard,Other
967,Belinda Berk,Sports
968,Hewitt Devany,
969,Rudd Davio,Drama
970,Kinnie Shellard,
971,Helena Dibbert,Other
972,Kellyann Taudevin,
973,Noe Causnett,Music
974,Hannie Akhurst,
975,Erhard Paler,Drama
976,Oliver Trudgion,
977,Beatrice Tomich,
978,Buffy Bullus,
979,Kordula Freed,
980,Edsel Quenell,Drama
981,Sammy Dies,Debate
982,Mackenzie Fergusson,
983,Sansone Boldison,Other
984,Jacynth Byfield,
985,Nerita Crenage,Other
986,Aymer Klaff,Music
987,Lorette Aldine,
988,Thaddeus Rosenqvist,Music
989,Tatiania Goodreid,Sports
990,Leicester Hummerston,
991,Meridel Carthy,
992,Lenora Heppner,
993,Glynis Redwood,Other
994,Quill Riccardelli,Debate
995,Lise Blofeld,
996,Rhoda Galpen,
997,Fifi Rowlett,Music
998,Adelbert Viegas,
999,Orson Aldrick,
1000,Van Freeland,Debate
